year,word,frequency
2021,contempt,678
2021,contributing,2
2021,copulation,161
2021,counterfeit,29
2021,court,2186
2021,credit,39
2021,crime,1535
2021,criminal,4699
2021,crm,443
2021,cruelty,69
2021,damage,2
2021,deadly,12956
2021,defrauding,67
2021,discharge,687
2021,dishonest,12
2021,disperse,2
2021,displayed,4299
2021,disrupt,2
2021,distribute),2
2021,disturbing,321
2021,document,725
2021,driving,115
2021,"drugs,",3
2021,drunk,3
2021,dumping,28
2021,dwelling,388
2021,"embezzlement,",812
2021,emergency,2
2021,employee,12
2021,epo),2
2021,etc),243
2021,exposure,258
2021,extortion,372
2021,failure,281
2021,false,95
2021,felony,14379
2021,firearms,4
2021,"firearms(sale,display,manufacture",2
2021,firearms/shots,687
2021,fired,1237
2021,firefighter,57
2021,forcible,963
2021,forgery,698
2021,fraud,41
2021,frgn,241
2021,from,29690
2021,grand,9661
2021,homicide,400
2021,human,130
2021,identity,11373
2021,illegal,28
2021,imprisonment,65
2021,incest,2
2021,indecent,258
2021,inhabited,388
2021,innkeeper/theft,67
2021,insurance,2
2021,intimate,13862
2021,involuntary,34
2021,kidnapping,237
2021,"letters,",2059
2021,lewd,4267
2021,lewd/lascivious,26
2021,lynching,3
2021,machine,6
2021,"manslaughter,",2
2021,minor,3
2021,miscellaneous,1532
2021,misdeameanor,6313
2021,motor,16035
2021,moving,357
2021,mutual,241
2021,nature,3
2021,neglect,249
2021,negligent,2
2021,obj,241
2021,object,523
2021,offender,203
2021,officer,217
2021,older),443
2021,one,119
2021,oral,161
2021,order,4464
2021,oth,119
2021,other,2772
2021,out,203
2021,over,10
2021,over),8996
2021,"over)excpt,guns,fowl,livestk,prod",6755
2021,"over,",13681
2021,owner,39
2021,pandering,34
2021,partner,13862
2021,peace,321
2021,peeping,83
2021,penetration,569
2021,penis,119
2021,pers,119
2021,person,934
2021,petty,22869
2021,phone,118
2021,pickpocket,150
2021,"pickpocket,",1
2021,pimping,48
2021,plain,11311
2021,police,874
2021,pornography,62
2021,possession/bombing,10
2021,property,2
2021,protective,2
2021,prowler,39
2021,purse,28
2021,"rape,",1039
2021,reckless,76
2021,registrant,203
2021,relatives),2
2021,repair,2
2021,replica,2
2021,report,30
2021,resisting,213
2021,restraining,2954
2021,ro),2
2021,robbery,8500
2021,roll,3
2021,scare,102
2021,school,2
2021,"scooters,",243
2021,"services,",67
2021,servitude,34
2021,sex,299
2021,"sex,unlawful(inc",241
2021,sexual,1264
2021,shoplifting,2957
2021,shoplifting-grand,631
2021,shots,550
2021,simple,27689
2021,snatching,28
2021,sodomy/sexual,119
2021,stalking,159
2021,stealing,103
2021,stolen,27430
2021,susp,443
2021,tap,8
2021,telephone,2061
2021,temporary,219
2021,the,321
2021,theft,44874
2021,"theft,",911
2021,theft-grand,6755
2021,threatening,118
2021,threats,4299
2021,throwing,195
2021,till,8
2021,tom,83
2021,trafficking,130
2021,train,162
2021,trespassing,2774
2021,unauthorized,122
2021,under,68
2021,under),29409
2021,use,39
2021,vandalism,19994
2021,vandalisms),13681
2021,vehicle,54021
2021,"vehicle,",552
2021,violation,4460
2021,w.i.c.),249
2021,w/foreign,328
2021,weapon,7889
2021,"weapon,",12739
2021,weapons,10
